"artist","song","vector"
"Kiana Ledé","Amazing.","[0.851135551929, 0.394828110933, 7.4909696579, 735.961730957, 0.070036649704, 6.05047369003, 1077.03088379, 13.210735321, 0.537256836891, 6.50317049026, 3970810.25, 0.745057165623, 0.00123919488396, 0.0150528596714, 0.00385020184331, 0.00476665748283, 0.0100689232349, 0.00603072158992, 0.00095302896807, 0.000231236568652, 0.000875969300978, 0.000528070318978, 0.00035384829971, 0.00017189704522, 0.00013212102931, 0.000178455651621, 0.000155604400788, 0.000140450400067, 0.00010228028259, 5.65782793274e-05, 0.000131225868245, 0.000133778434247, 0.000115967493912, 3.11975672957e-05, 2.68098374363e-05, 4.92051694891e-05, 5.37354389962e-05, 1.12527186502e-05, 1.74537444764e-06, -827.153442383, 165.770050049, 39.1208343506, 37.7666854858, 11.0078125, -8.64521694183, 6.49498414993, -16.1182689667, -4.12009334564, -7.87554836273, -15.1637105942, -8.0300245285, -2.63818645477, -170.732406616, 134.764007568, -64.3548431396, 19.1045131683, -50.2157058716, -16.5072841644, -39.4486198425, -2.27553510666, -32.156578064, 1.18608796597, -7.35928249359, -4.34710073471, 8.57842063904, 97.0309448242, 1.0566213131, 3.24685955048, 0.514985024929, 15.3686800003, 1.76240324974, 0.758223056793]"
"Aoi Teshima","La Vie en Rose","[0.683755159378, 0.417930275202, 5.58775568008, 853.791809082, 0.0433064065874, 6.78914356232, 1740.61779785, 15.8296661377, 0.482070952654, 7.54171800613, 7101137.5, 0.875998556614, 7.65416480135e-05, 0.00545807881281, 0.00228763115592, 0.000809702731203, 0.00479396339506, 0.00474431598559, 0.00081911374582, 0.000211869133636, 0.000985539052635, 0.000561907829251, 0.000285822345177, 0.000397923402488, 0.000162062628078, 0.000153719869559, 9.14692427614e-05, 4.51351443189e-05, 3.35322292813e-05, 2.63179590547e-05, 5.81758795306e-05, 4.31527150795e-05, 3.266179192e-05, 1.7155896785e-05, 4.56100460724e-05, 6.88222207827e-05, 0.000162402255228, 0.00017864991969, 0.000186318604392, -779.96887207, 158.525741577, 39.2802238464, 7.71014928818, 18.4564876556, 6.47308540344, 11.5955610275, -6.49046993256, 0.011746908538, -0.469303250313, -6.17628955841, -2.0254817009, -2.29075670242, -106.803215027, 88.8468475342, -35.9456329346, -12.6890497208, -29.6141395569, 6.88317632675, -33.037021637, 1.78688585758, -28.2121582031, 7.53921842575, -13.3791284561, 1.20018601418, -4.52637529373, 67.7501449585, 1.09207749367, 2.6819691658, 0.533782660961, 17.4362468719, 1.61871337891, 0.754027664661]"
"Yuuri","Dried Flower","[0.714620113373, 0.43668165803, 4.01664447784, 1136.73571777, 0.0676095560193, 7.07237195969, 1377.74914551, 18.1616973877, 0.539718925953, 16.2509326935, 3747142, 1.37159538269, 0.000115707429359, 0.00192133081146, 0.00181322090793, 0.00121882418171, 0.00366378203034, 0.00236558215693, 0.00251252599992, 0.0021745134145, 0.0015072952956, 0.00201223534532, 0.000518858199939, 0.000777852372266, 0.000597556820139, 0.00101767771412, 0.000462089810753, 0.000358997669537, 0.000460308685433, 0.000341749546351, 0.00017784893862, 0.000115057540825, 9.47495936998e-05, 6.85496197548e-05, 5.6948778365e-05, 4.00673088734e-05, 3.98621268687e-05, 1.43652223414e-05, 2.33112746173e-06, -689.020080566, 149.433990479, -19.5952796936, 12.9167871475, -1.27131533623, -10.8744859695, -8.54994869232, -6.54303979874, 0.578344166279, -4.4182972908, -5.63155841827, -1.91983938217, -5.20982217789, -54.2389831543, 116.235671997, -132.384460449, 5.47302865982, -56.1651268005, -5.43183326721, -41.4701652527, 4.17583847046, -23.1298942566, -2.67851161957, -18.1270465851, -5.28005170822, -6.80367517471, 147.979476929, 1.03495752811, 2.99610614777, 0.504022359848, 16.5635757446, 1.59418475628, 0.914018273354]"
"RINI","Strawberry Blossom","[0.904139220715, 0.423591971397, 3.89576864243, 704.176879883, 0.0875044614077, 6.72675418854, 744.579833984, 14.2056465149, 0.521627306938, 11.6696491241, 3676969.25, 0.868901789188, 0.000303481821902, 0.0106807183474, 0.00565792061388, 0.00289503671229, 0.00416708085686, 0.00298968143761, 0.00260448642075, 0.00189300149214, 0.000889653747436, 0.000545946240891, 0.000637592340354, 0.000618697435129, 0.000487873126986, 0.000304970744764, 0.000312318850774, 0.00014874804765, 0.000220428555622, 0.000111149631266, 6.69055007165e-05, 5.59390064154e-05, 4.40981893917e-05, 5.38155254617e-05, 6.52955350233e-05, 6.16453398834e-05, 5.01255599374e-05, 1.95627562789e-05, 2.37664789893e-06, -722.640258789, 170.176177979, 12.0288915634, 18.4044265747, 7.58252859116, -2.96139264107, -7.45021343231, -1.28156864643, -7.82883548737, -1.45473432541, -0.713634073734, 1.49181294441, 3.34199571609, -71.2351455688, 135.293563843, -97.4373168945, 13.9833192825, -53.6783447266, -0.102528296411, -40.6185264587, 3.1336376667, -16.5798053741, -0.674189209938, -5.8987455368, -1.1230815649, -8.00710010529, 142.172164917, 1.216558218, 3.46852684021, 0.513036310673, 14.559129715, 1.83048462868, 0.726483166218]"
"SZA","Diamond Boy (DTM)","[0.604913890362, 0.392547339201, 2.79565429688, 546.543457031, 0.0714922621846, 6.29104566574, 514.609802246, 14.2328052521, 0.403964042664, 9.26929187775, 3325208.5, 0.893637835979, 0.00598157104105, 0.0467923805118, 0.00577091891319, 0.00274730310775, 0.00797824934125, 0.00453203357756, 0.00203592516482, 0.0014591148356, 0.00220026657917, 0.000489515834488, 0.000505682372022, 0.000331898481818, 0.000200544338441, 0.000210911603062, 0.000188180769328, 0.000124485595734, 7.28090235498e-05, 4.84609372506e-05, 6.06131325185e-05, 2.5279709007e-05, 2.0485920686e-05, 1.28350047817e-05, 1.61047864822e-05, 1.27947323563e-05, 2.06088898267e-05, 8.28674910736e-06, 1.53041594331e-06, -739.483154297, 192.188034058, 28.9406986237, 20.3421134949, 3.4529106617, -5.74641513824, -0.551167726517, -6.60091590881, 1.71739208698, 6.4609413147, -3.66992664337, -6.45318078995, -3.5990588665, -76.5243225098, 149.247406006, -74.105178833, 5.17298841476, -52.9292793274, -1.81804251671, -33.4793624878, 6.04750061035, -19.1861209869, 1.16397416592, -11.5357275009, -8.65987682343, 1.61451506615, 133.007675171, 0.918778955936, 3.53964161873, 0.461354702711, 15.9991998672, 1.60543739796, 0.631314814091]"
"YOASOBI","群青","[0.964152157307, 0.461273670197, 2.4035859108, 1426.94396973, 0.104084387422, 7.62849330902, 1361.90087891, 28.9599590302, 0.469016879797, 20.1667137146, 5769666.5, 1.02935671806, 0.00227371393703, 0.020175697282, 0.00368045968935, 0.00237992568873, 0.00528346421197, 0.0026925036218, 0.00194079731591, 0.00123966997489, 0.00106425269041, 0.00131364399567, 0.00151583971456, 0.00120061438065, 0.000545342685655, 0.000492106308229, 0.000798173423391, 0.000341063598171, 0.000445354671683, 0.000390463130316, 0.000395577255404, 0.000330442271661, 0.000385994353564, 0.000140995005495, 0.000144446312333, 0.000204711192055, 0.000275950413197, 8.8150605734e-05, 1.50237610796e-05, -628.366821289, 112.834388733, 6.638671875, 22.5179901123, 6.5953245163, 2.80284833908, 10.9691724777, -3.9864256382, 4.07987308502, -1.52912437916, 0.0030916237738, -0.407490879297, 3.72406482697, 18.3388996124, 73.6738128662, -100.436210632, 26.7806129456, -50.4846420288, 13.2668056488, -33.4110374451, 12.9213628769, -28.4851055145, 10.5806398392, -11.3465633392, 2.4486978054, -2.4356341362, 134.991394043, 1.2958753109, 4.233066082, 0.485821187496, 15.6878862381, 1.71268391609, 0.684237718582]"
"Emotional Oranges","Bounce","[0.885618627071, 0.440732210875, 4.0169377327, 944.743835449, 0.0928923487663, 7.35221529007, 963.510559082, 15.0347661972, 0.465237855911, 11.1734266281, 5571622, 0.480227440596, 0.0030065192841, 0.0242741405964, 0.00419938471168, 0.00218874728307, 0.00273551419377, 0.00214701751247, 0.0014865238918, 0.00112575886305, 0.000827290583402, 0.000510768790264, 0.000403049780289, 0.000278722756775, 0.000240405817749, 0.000189556638361, 0.000183234194992, 0.000130941538373, 9.6517498605e-05, 0.000101719961094, 0.000146999940625, 0.000119275886391, 0.000130088228616, 0.000122242490761, 0.000180703806109, 0.00015968955995, 0.000100911485788, 2.88604969683e-05, 5.10579320689e-06, -700.83770752, 128.079330444, 34.4738311768, 17.7669296265, 2.38582754135, 2.60849142075, -3.82897949219, -3.02451968193, -2.57214236259, 6.20944166183, 1.24348306656, 2.19858193398, -0.597179412842, -50.4771957397, 96.4957962036, -82.607421875, 27.1659488678, -67.1447677612, 13.1762247086, -37.9415626526, 7.79747152328, -15.2911863327, 6.92335748672, -6.80509471893, -2.98541760445, -5.67310571671, 105.992362976, 1.3465474844, 4.23670578003, 0.483739376068, 13.8551807404, 1.91869592667, 0.692264199257]"
"Kehlani","Love Language","[0.912040352821, 0.425391435623, 4.23749399185, 1102.57189941, 0.0901133716106, 6.9793419838, 1333.0078125, 16.2138805389, 0.411362737417, 9.64635467529, 5768635.5, 0.914527058601, 0.00129467668012, 0.0237581636757, 0.00333222630434, 0.00149801257066, 0.00178188679274, 0.00181025126949, 0.00205434393138, 0.00072417431511, 0.00109998835251, 0.000739770068321, 0.000428416649811, 0.000361086014891, 0.000250695855357, 0.000248440774158, 0.000201850998565, 0.000293004617561, 0.000219761845074, 0.000146956241224, 0.00014990841737, 0.00014616426779, 0.000118838041089, 6.85048216837e-05, 9.85484875855e-05, 0.000120745869935, 0.000160933137522, 8.43743910082e-05, 1.07114929051e-05, -741.699829102, 112.058486938, 12.3547067642, 5.93462514877, -3.13207554817, -25.1756076813, -12.907579422, -12.8827266693, -1.93969666958, 3.31216073036, -3.91494822502, 10.4564313889, 9.87409305573, -86.182723999, 64.0293807983, -100.575111389, -3.1410779953, -70.5220870972, -10.5615348816, -45.8481826782, 17.4668273926, -11.7933397293, 13.1546278, -4.42120742798, 5.13498783112, -0.24108146131, 89.9991378784, 1.32922804356, 4.27875614166, 0.530123353004, 16.4900798798, 1.59440493584, 0.747348845005]"
"Kendrick Lamar","Not Like Us","[0.95833325386, 0.428372859955, 2.85547471046, 1288.93200684, 0.142603710294, 7.38888835907, 857.623535156, 31.5939731598, 0.320054918528, 12.4023704529, 6195103, 0.676897406578, 0.0460560321808, 0.0668588653207, 0.00324566080235, 0.0016253630165, 0.00208643171936, 0.00169184815604, 0.00193467910867, 0.00135449622758, 0.00174627301749, 0.00118346570525, 0.000658099132124, 0.000464964279672, 0.000507252989337, 0.000471811945317, 0.000481241673697, 0.000435341877164, 0.000416677707108, 0.000256914150668, 0.000135066511575, 0.000116440896818, 0.000187411846127, 0.000212793791434, 0.000410091306549, 0.000328426249325, 0.000306188856484, 0.000230997466133, 3.51492817572e-05, -682.899414062, 119.470451355, 35.3324699402, 19.0678520203, 19.6396865845, 8.00165081024, 3.93341016769, 13.0973720551, 5.81837844849, 9.24314117432, 8.37158298492, 4.93745326996, 2.93132519722, -24.8950862885, 80.8667221069, -71.4399414062, 32.5231971741, -46.6557693481, 25.2480449677, -30.8556289673, 18.9039535522, -8.86514949799, 4.06009435654, -6.41648054123, 1.98733508587, -6.13037872314, 101.015029907, 1.16959190369, 5.09838581085, 0.545687139034, 13.2665786743, 1.97215735912, 0.65603107214]"
"thuy","playing tricks","[0.901327133179, 0.392368018627, 5.46724700928, 756.978881836, 0.0729117244482, 6.6776804924, 953.693908691, 15.4198665619, 0.470939010382, 9.66423034668, 5114807, 1.08678686619, 0.00144001259468, 0.0181916374713, 0.00349682383239, 0.00122133886907, 0.00175151892472, 0.00648985942826, 0.00265563628636, 0.00126751500648, 0.0027001129929, 0.00156760378741, 0.00078447983833, 0.000367072789231, 0.000187751633348, 0.000247292511631, 0.000274939491646, 0.00011315523443, 7.4104857049e-05, 8.58041530591e-05, 5.82567881793e-05, 6.32919545751e-05, 2.84508405457e-05, 1.71904284798e-05, 4.22120247094e-05, 0.000107636318717, 5.41103472642e-05, 1.93331161427e-05, 2.05811079468e-06, -749.25213623, 155.075744629, 34.4025421143, -4.6548204422, 0.912497222424, -19.1712055206, -3.68288874626, -6.24842214584, 1.83066320419, 12.448797226, -9.60514831543, 0.691952764988, -2.77976632118, -101.827186584, 117.4998703, -83.5307159424, -7.08209276199, -70.7901535034, 4.5810675621, -39.011428833, 14.395108223, -15.4084377289, 1.07038354874, -6.50934696198, -6.69438314438, 3.36616587639, 129.806732178, 1.25644946098, 3.29401564598, 0.489889919758, 17.7164897919, 1.46316325665, 0.717211067677]"
"SPYAIR","Orange","[0.931432366371, 0.471025764942, 2.5139093399, 1950.2376709, 0.0961120128632, 7.83191728592, 2074.71118164, 32.5957641602, 0.50157982111, 25.2372913361, 5604738.5, 0.913244485855, 0.000460865296191, 0.0120487893, 0.00586644094437, 0.00227004429325, 0.0023172525689, 0.00128660735209, 0.000730045954697, 0.00138162670191, 0.00210501998663, 0.00200517708436, 0.000490745704155, 0.000833367346786, 0.000569599040318, 0.000765029632021, 0.000516281230375, 0.000496395514347, 0.000620911712758, 0.000445792044047, 0.000590241339523, 0.000555393344257, 0.00036975168041, 0.000401858589612, 0.000271690514637, 0.000306876754621, 0.000241087851464, 9.42322221817e-05, 3.43457832059e-05, -624.299560547, 105.243621826, -3.22244906425, 31.9460296631, 2.32304883003, 9.30606746674, 8.30574798584, 11.2750177383, 6.86154270172, 4.19569921494, 2.26380252838, -2.74704742432, 1.20434975624, 10.3142623901, 69.4424819946, -104.835540771, 35.8264350891, -42.1538696289, 13.1711730957, -19.9589366913, 12.6307287216, -22.1176204681, 1.20092082024, -19.8785705566, 0.619577825069, -12.6034822464, 99.6839675903, 0.987116277218, 2.92919588089, 0.463655620813, 13.4851665497, 1.88413643837, 0.744474112988]"
"Coldplay","Viva La Vida","[0.828606963158, 0.45494800806, 4.09617805481, 1106.78930664, 0.077522739768, 7.33467578888, 1232.61328125, 18.6605968475, 0.545242190361, 18.1485290527, 3720710.5, 1.14074027538, 0.000149849875015, 0.00529846828431, 0.00270769326016, 0.00250782305375, 0.00394389033318, 0.00152320356574, 0.00208444730379, 0.00251940637827, 0.00249983975664, 0.00183989130892, 0.000714644789696, 0.000637877907138, 0.000573212455492, 0.000726045109332, 0.000382944213925, 0.000398179836338, 0.000423044257332, 0.000273585756076, 0.000181506271474, 0.000129955427838, 0.000108338725113, 0.000138151357532, 8.41641958687e-05, 4.11360888393e-05, 2.61552140728e-05, 1.28771271193e-05, 2.87256654019e-07, -659.015258789, 143.142562866, -12.5480098724, 23.0562915802, -4.01981830597, 4.42550086975, -8.03106403351, 2.20336174965, -3.00208759308, -0.378451436758, 2.64356565475, -5.12947225571, -3.01183104515, -22.7704029083, 117.637916565, -132.378417969, 28.0996322632, -60.780960083, 5.99325037003, -37.1113777161, 3.46505022049, -19.9922485352, -0.0441316366196, -17.5808429718, -2.54899096489, -12.3124380112, 138.032363892, 1.08442389965, 2.88185930252, 0.56700861454, 14.4806852341, 1.84342217445, 0.793653905392]"
"Doechii, SZA","Persuasive","[0.820533573627, 0.439550340176, 3.20473122597, 1185.3527832, 0.105493977666, 7.35681200027, 1639.84216309, 23.1226043701, 0.477487266064, 11.8124723434, 6999297.5, 0.971458494663, 0.00345021253452, 0.0317857787013, 0.00524936942384, 0.0017129991902, 0.00442065764219, 0.00322576402687, 0.00162722333334, 0.00217144563794, 0.00101352890488, 0.00094764091773, 0.00041255398537, 0.00062114209868, 0.000745464640204, 0.000632401264738, 0.000291040923912, 0.000189998667338, 0.000157975198817, 0.000123005767819, 0.000148860184709, 0.000169698207173, 0.000146565682371, 0.000133170804475, 0.00012621730275, 0.000236409076024, 0.000287321716314, 7.6521479059e-05, 1.59344072017e-05, -685.908203125, 102.019454956, 25.9885082245, 6.79782009125, -0.958746135235, -4.96991729736, -2.31215858459, -13.0576696396, -5.66339111328, -1.07464778423, -7.32219409943, -4.43724679947, -5.32985877991, -34.7291984558, 60.1569519043, -88.6941146851, 12.9686727524, -72.7800140381, 7.37570095062, -47.0159606934, 3.37755727768, -29.4225025177, 5.36841583252, -12.5623970032, -3.64360260963, -2.70007276535, 120.037834167, 1.32536959648, 4.11197566986, 0.527890980244, 15.2556400299, 1.76915454865, 0.718868374825]"
"Wiz Khalifa","California","[0.912437498569, 0.43955552578, 3.99505591393, 1289.95275879, 0.111229546368, 7.65559530258, 1868.96386719, 36.5140686035, 0.501855790615, 12.5367002487, 7442169.5, 0.594238936901, 0.00147974153515, 0.0215585678816, 0.00183631165419, 0.00158355361782, 0.00356122036465, 0.00277949683368, 0.00161910848692, 0.000932854192797, 0.00126115663443, 0.000836514984258, 0.000582790933549, 0.000590467476286, 0.000596134748776, 0.000614974240307, 0.000454080669442, 0.000329047034029, 0.00036764156539, 0.000252700934652, 0.000256913335761, 0.000318625039654, 0.000292111129966, 0.000489292433485, 0.000750599894673, 0.000506573356688, 0.000373440765543, 0.000263292138698, 2.75747624983e-05, -666.693359375, 106.073684692, 43.1177482605, 8.67601776123, 9.58694553375, 17.9977836609, -5.72466802597, 8.05438423157, -3.72390913963, 0.40423771739, -0.823894560337, 0.314976245165, 2.59927105904, -6.66578006744, 64.4510345459, -69.1774902344, 25.1987800598, -61.4829406738, 28.2017707825, -40.1908073425, 4.26888895035, -17.8453712463, 6.30295991898, -14.0253276825, 12.3278913498, -10.2058601379, 84.9823989868, 1.4228053093, 4.95782136917, 0.529622673988, 12.4548616409, 2.10806822777, 0.657421588898]"
"Mahalia","IRL","[0.86033564806, 0.427763909101, 3.88008642197, 1096.30126953, 0.0879496708512, 7.05617523193, 1257.04223633, 16.7861461639, 0.482957422733, 11.1021528244, 4844746, 0.792586028576, 0.00324151664972, 0.0248432345688, 0.00450813258067, 0.001173359924, 0.00317817856558, 0.00207111239433, 0.00210071308538, 0.000852015917189, 0.000747839163523, 0.00128505169414, 0.00117893866263, 0.000468063633889, 0.000279939849861, 0.000232379738009, 0.000179799826583, 0.000165046265465, 0.000129698062665, 0.000121988981846, 0.000224270290346, 0.000186843128176, 0.000123743870063, 0.00019082063227, 0.000148055027239, 0.000101367666502, 7.55726432544e-05, 2.51878300332e-05, 2.70186501439e-06, -724.769226074, 140.702423096, 29.9316654205, 21.2960891724, -4.61829042435, -9.2664899826, 6.76002836227, -5.76273679733, -2.56494569778, 2.63557362556, -5.34850645065, -3.02624964714, 2.14484524727, -72.2062149048, 105.063606262, -81.0533218384, 14.3507452011, -61.9864006042, -0.873191177845, -31.6956729889, 11.5173940659, -27.5075073242, 4.83130693436, -7.03563690186, -2.99574947357, -2.70301580429, 136.060714722, 1.20406413078, 3.94883966446, 0.549043953419, 15.2960262299, 1.76320827007, 0.784244716167]"
"Bren Joy","BLUEJAY","[0.590541005135, 0.443500816822, 5.76170444489, 1024.66357422, 0.0820771083236, 7.2934384346, 1095.06274414, 21.889547348, 0.511252522469, 16.8997879028, 4883694.5, 0.930555999279, 0.000520694651641, 0.0144892903045, 0.00278022605926, 0.00175050657708, 0.00340080191381, 0.00250736391172, 0.00218743993901, 0.00248669832945, 0.00198989338242, 0.00202173180878, 0.000734281784389, 0.00091440405231, 0.000665483647026, 0.000665274623316, 0.000627876899671, 0.000404341088142, 0.000369393965229, 0.000285176967736, 0.000164315773873, 0.00018024763267, 0.000104575730802, 9.82401761576e-05, 9.60827601375e-05, 0.00014930452744, 9.88719475572e-05, 2.68721414614e-05, 3.12759630106e-06, -688.872253418, 133.851745605, 17.2786960602, 15.510269165, 13.2847032547, -0.0513222999871, 0.80959457159, 1.34021925926, -1.54426884651, 7.22797441483, -1.92761170864, 1.62625050545, -1.11122012138, -40.7032814026, 98.5735549927, -94.2586975098, 23.833065033, -54.7360801697, 15.7506666183, -41.2878036499, 12.891579628, -19.6721973419, 2.7400534153, -9.83577632904, -3.98646092415, -7.00624036789, 95.0443496704, 0.978053569794, 3.29166340828, 0.557619392872, 15.1653490067, 1.7903547287, 0.766790866852]"
"Paniyolo","Aina","[0.846116125584, 0.326876789331, 6.20577526093, 571.221374512, 0.0419046990573, 5.54092550278, 1024.06506348, 7.93791389465, 0.52140378952, 7.55643415451, 1755059.5, 1.14420151711, 9.44149235238e-07, 0.00110632169526, 0.00179687817581, 0.00152241426986, 0.00486642168835, 0.00597683619708, 0.0034393586684, 0.00113723624963, 0.00131874554791, 0.000602508487646, 0.000159693037858, 0.000137091279612, 4.91569735459e-05, 1.86471133929e-05, 1.74173819687e-05, 8.79042454471e-06, 1.07076857603e-05, 3.57237945536e-06, 6.09817107033e-06, 8.07307242212e-06, 1.74509330009e-06, 1.9461838292e-06, 5.43903297512e-07, 4.25814022265e-07, 1.93096283851e-07, 5.38949684881e-08, 1.83093167294e-08, -863.764404297, 246.077697754, 28.777677536, 8.99550056458, -14.9237222672, -9.33336544037, -9.56062507629, -4.73119831085, -8.09340000153, -7.68716239929, -7.46355724335, -8.15826320648, -2.914539814, -203.560562134, 194.220367432, -74.5551986694, -24.6280860901, -61.5920295715, -18.4147281647, -27.6019630432, -12.2190637589, -19.791431427, -13.3702459335, -10.1867446899, -7.7166428566, -4.63691806793, 114.751564026, 1.11706054211, 2.99932575226, 0.464434206486, 17.3008441925, 1.39860761166, 0.833153605461]"
"Official HIGE DANdism","Pretender (Instrumental)","[0.883283317089, 0.473362952471, 3.21138811111, 1416.69458008, 0.081891939044, 7.56617069244, 1294.61535645, 24.5829696655, 0.519344508648, 23.0105133057, 4961936, 0.567350387573, 0.00109084474389, 0.0223699826747, 0.00414961436763, 0.00419128825888, 0.00447079446167, 0.00195662747137, 0.00116025912575, 0.000841233297251, 0.000829303229693, 0.000653483846691, 0.000500808062498, 0.000546882569324, 0.00047537748469, 0.000700542121194, 0.000338492216542, 0.000510395329911, 0.00078626035247, 0.000342157058185, 0.000274519057712, 0.000250568205956, 0.000214845815208, 0.000207103759749, 0.000204600044526, 0.000158046372235, 0.000127966384753, 9.78458483587e-05, 6.11603391008e-05, -647.348205566, 132.585922241, -6.46565723419, 24.1548423767, 11.550444603, 5.68103456497, -2.60282349586, 6.30873346329, 1.16306841373, -0.195237323642, 0.347280144691, 2.74973893166, -0.905131220818, -5.24511814117, 94.459312439, -107.215820312, 23.5723438263, -37.7098121643, 5.66388893127, -31.6530170441, 5.32438755035, -14.4848909378, -0.597230136395, -13.2557144165, 2.2558927536, -9.84122180939, 91.9961929321, 1.18273723125, 4.5953001976, 0.47796523571, 13.357509613, 1.97394299507, 0.799086034298]"
"Bren Joy","SKIN","[0.911209881306, 0.44555953145, 3.82461738586, 950.140258789, 0.0917631983757, 7.29431676865, 1121.6229248, 22.3382720947, 0.477133899927, 14.6672449112, 5295041.5, 0.80427801609, 0.00119710667059, 0.021300399676, 0.00725851999596, 0.00215249694884, 0.00334066734649, 0.00309174181893, 0.00262827868573, 0.00145738490392, 0.00189778907225, 0.00115627644118, 0.00101112539414, 0.000719485455193, 0.000416048482293, 0.000376754032914, 0.00029011850711, 0.000159227303811, 0.000194945008843, 0.000271023833193, 0.000175940935151, 0.000172397238202, 0.000158116294187, 0.000149513973156, 0.00018498726422, 0.000198463632842, 0.000131958149723, 7.27790829842e-05, 1.60274557857e-05, -674.159729004, 130.552764893, 27.4122524261, 14.4587535858, 6.90654754639, -1.58156228065, 3.55242919922, 7.6045460701, -4.74032688141, 6.45049142838, 0.404390364885, 2.40986895561, -0.47274312377, -19.6140956879, 91.3893890381, -82.9135894775, 20.7774887085, -57.6165237427, 14.9077587128, -34.6860313416, 14.8553543091, -19.6255474091, 1.75126290321, -6.85292100906, 0.915528655052, -10.3613185883, 104.108177185, 1.1000136137, 3.10754776001, 0.504103958607, 13.6525678635, 1.94374394417, 0.523910462856]"
"DAVICHI","Fanfare","[0.924862265587, 0.450270533562, 3.13164758682, 1304.59631348, 0.083189457655, 7.45233154297, 1740.11853027, 28.9241065979, 0.512916147709, 16.806476593, 6137649.5, 1.71068108082, 0.000219855792238, 0.00381574174389, 0.00154037494212, 0.00116964941844, 0.00336485612206, 0.00329822674394, 0.00169754319359, 0.00167133216746, 0.0013784840703, 0.0021611766424, 0.00155417528003, 0.00130734359846, 0.000415357062593, 0.00106908823363, 0.000841136730742, 0.000607490481343, 0.000550624914467, 0.000308531016344, 0.000536595936865, 0.000159898016136, 9.2116810265e-05, 6.53869647067e-05, 0.000107628286059, 0.000293488352327, 0.000315441924613, 0.000101760444522, 1.51142148752e-05, -642.782104492, 111.780960083, 6.37113857269, 5.22875022888, 15.5142469406, -11.6426362991, 7.02043485641, -1.82430279255, -0.854009747505, 6.33918809891, -6.12446546555, -3.04798555374, -2.51809811592, 8.83975315094, 66.6807632446, -100.79334259, 11.3647508621, -52.2517967224, 14.1418857574, -45.9784355164, 19.92304039, -29.6776809692, 2.61477184296, -12.7586317062, -4.92321443558, -7.53727006912, 97.9458770752, 1.10221207142, 3.29093933105, 0.525275588036, 17.1854534149, 1.59607255459, 0.804666936398]"
"Choi Seong Geun, Kim Ji Soo","Our Blues Title","[0.959667205811, 0.471157997847, 3.46996283531, 1261.40087891, 0.14609131217, 7.84277105331, 2154.07006836, 37.998260498, 0.436195701361, 17.3174686432, 7919506, 0.683263301849, 5.23766248079e-05, 0.0268639940768, 0.0150608196855, 0.00468446221203, 0.00338588026352, 0.00176020676736, 0.00108640140388, 0.000933128583711, 0.000418432056904, 0.000475142180221, 0.000374716531951, 0.000374581228243, 0.000337076577125, 0.000305361900246, 0.000526596268173, 0.000365859625163, 0.000256739614997, 0.000171795603819, 0.00016785763728, 0.000164579047123, 0.000196046676137, 0.000273056764854, 0.000345196051057, 0.000392136222217, 0.000634924566839, 0.000536772888154, 0.000128528699861, -638.088378906, 99.7880325317, 30.9534053802, 15.1456708908, 20.4265079498, 15.8940763474, 2.94708538055, 7.00998592377, 6.62863636017, 8.22367858887, 4.32427835464, 3.85527920723, 6.30422544479, 25.2588157654, 50.7965164185, -65.7084884644, 25.2027435303, -40.4860305786, 27.7280349731, -34.3770561218, 14.2597045898, -15.8450965881, 11.0522031784, -16.758348465, 3.55956792831, -13.9498472214, 98.0123596191, 1.6080685854, 5.52222728729, 0.435922443867, 13.0958957672, 2.12346529961, 0.536288142204]"
"Ichiko Aoba","bouquet","[0.588231861591, 0.304396063089, 4.91642904282, 424.997406006, 0.0308384504169, 5.13622188568, 553.643005371, 9.64620304108, 0.422878831625, 5.65552854538, 2119910.25, 1.66182863712, 3.47460650119e-06, 8.27463154565e-05, 0.000994052854367, 0.00124605849851, 0.00447119120508, 0.00227662641555, 0.00605871342123, 0.00462126499042, 0.000909116235562, 0.000571740034502, 0.000481689610751, 0.000244723865762, 0.00014266067592, 9.63688216871e-06, 6.29479518466e-06, 5.48192065253e-06, 3.60767671737e-06, 2.98586041936e-06, 3.06191395794e-06, 9.39881317663e-07, 1.21821608445e-06, 1.47366370129e-06, 1.97747294806e-06, 1.49763013724e-06, 2.26341398957e-06, 6.15225530964e-07, 1.68781273402e-08, -872.495361328, 219.571044922, 54.9631500244, 7.71942901611, 2.10385036469, -23.4952583313, -14.8471670151, -10.7009315491, -13.6685276031, -12.8010473251, -9.39194202423, 1.71172201633, 1.95666456223, -194.137985229, 171.737472534, -53.8685417175, -22.5439739227, -71.7786636353, -17.827299118, -50.0653343201, -3.54928851128, -26.1494102478, -13.0475883484, -11.5430793762, -11.7910137177, -13.9026346207, 172.266067505, 0.87850445509, 2.80414271355, 0.494841486216, 20.5804176331, 1.18130218983, 0.740306437016]"
